MAC,Description,Serial,OSDComputerName,AssetTag
00:24:45:E1:58:69,Computer69,Serial069,Computer69,Asset-Tag069
00:24:45:E1:58:70,Computer70,Serial070,Computer70,Asset-Tag070
00:24:45:E1:58:71,Computer71,Serial071,Computer71,Asset-Tag071
00:24:45:E1:58:72,Computer72,Serial072,Computer72,Asset-Tag072
00:24:45:E1:58:73,Computer73,Serial073,Computer73,Asset-Tag073
00:24:45:E1:58:74,Computer74,Serial074,Computer74,Asset-Tag074
00:24:45:E1:58:75,Computer75,Serial075,Computer75,Asset-Tag075
00:24:45:E1:58:76,Computer76,Serial076,Computer76,Asset-Tag076
00:24:45:E1:58:77,Computer77,Serial077,Computer77,Asset-Tag077
00:24:45:E1:58:78,Computer78,Serial078,Computer78,Asset-Tag078
00:24:45:E1:58:79,Computer79,Serial079,Computer79,Asset-Tag079
00:24:45:E1:58:80,Computer80,Serial080,Computer80,Asset-Tag080
00:24:45:E1:58:81,Computer81,Serial081,Computer81,Asset-Tag081
00:24:45:E1:58:82,Computer82,Serial082,Computer82,Asset-Tag082
00:24:45:E1:58:83,Computer83,Serial083,Computer83,Asset-Tag083
00:24:45:E1:58:84,Computer84,Serial084,Computer84,Asset-Tag084
00:24:45:E1:58:85,Computer85,Serial085,Computer85,Asset-Tag085
00:24:45:E1:58:86,Computer86,Serial086,Computer86,Asset-Tag086
00:24:45:E1:58:87,Computer87,Serial087,Computer87,Asset-Tag087
00:24:45:E1:58:88,Computer88,Serial088,Computer88,Asset-Tag088
00:24:45:E1:58:89,Computer89,Serial089,Computer89,Asset-Tag089
00:24:45:E1:58:90,Computer90,Serial090,Computer90,Asset-Tag090
00:24:45:E1:58:91,Computer91,Serial091,Computer91,Asset-Tag091
00:24:45:E1:58:92,Computer92,Serial092,Computer92,Asset-Tag092
00:24:45:E1:58:93,Computer93,Serial093,Computer93,Asset-Tag093
00:24:45:E1:58:94,Computer94,Serial094,Computer94,Asset-Tag094
00:24:45:E1:58:95,Computer95,Serial095,Computer95,Asset-Tag095
00:24:45:E1:58:96,Computer96,Serial096,Computer96,Asset-Tag096
00:24:45:E1:58:97,Computer97,Serial097,Computer97,Asset-Tag097
00:24:45:E1:58:98,Computer98,Serial098,Computer98,Asset-Tag098
00:24:45:E1:58:99,Computer99,Serial099,Computer99,Asset-Tag099
00:24:45:E1:58:100,Computer100,Serial100,Computer100,Asset-Tag100
00:24:45:E1:58:101,Computer101,Serial101,Computer101,Asset-Tag101
00:24:45:E1:58:102,Computer102,Serial102,Computer102,Asset-Tag102
00:24:45:E1:58:103,Computer103,Serial103,Computer103,Asset-Tag103
00:24:45:E1:58:104,Computer104,Serial104,Computer104,Asset-Tag104
00:24:45:E1:58:105,Computer105,Serial105,Computer105,Asset-Tag105
00:24:45:E1:58:106,Computer106,Serial106,Computer106,Asset-Tag106
00:24:45:E1:58:107,Computer107,Serial107,Computer107,Asset-Tag107
00:24:45:E1:58:108,Computer108,Serial108,Computer108,Asset-Tag108
00:24:45:E1:58:109,Computer109,Serial109,Computer109,Asset-Tag109
00:24:45:E1:58:110,Computer110,Serial110,Computer110,Asset-Tag110
00:24:45:E1:58:111,Computer111,Serial111,Computer111,Asset-Tag111
00:24:45:E1:58:112,Computer112,Serial112,Computer112,Asset-Tag112
00:24:45:E1:58:113,Computer113,Serial113,Computer113,Asset-Tag113
00:24:45:E1:58:114,Computer114,Serial114,Computer114,Asset-Tag114
00:24:45:E1:58:115,Computer115,Serial115,Computer115,Asset-Tag115
00:24:45:E1:58:116,Computer116,Serial116,Computer116,Asset-Tag116
00:24:45:E1:58:117,Computer117,Serial117,Computer117,Asset-Tag117
00:24:45:E1:58:118,Computer118,Serial118,Computer118,Asset-Tag118
00:24:45:E1:58:119,Computer119,Serial119,Computer119,Asset-Tag119
00:24:45:E1:58:120,Computer120,Serial120,Computer120,Asset-Tag120
00:24:45:E1:58:121,Computer121,Serial121,Computer121,Asset-Tag121
00:24:45:E1:58:122,Computer122,Serial122,Computer122,Asset-Tag122
00:24:45:E1:58:123,Computer123,Serial123,Computer123,Asset-Tag123
00:24:45:E1:58:124,Computer124,Serial124,Computer124,Asset-Tag124
00:24:45:E1:58:125,Computer125,Serial125,Computer125,Asset-Tag125
00:24:45:E1:58:126,Computer126,Serial126,Computer126,Asset-Tag126
00:24:45:E1:58:127,Computer127,Serial127,Computer127,Asset-Tag127
00:24:45:E1:58:128,Computer128,Serial128,Computer128,Asset-Tag128
00:24:45:E1:58:129,Computer129,Serial129,Computer129,Asset-Tag129
00:24:45:E1:58:130,Computer130,Serial130,Computer130,Asset-Tag130
00:24:45:E1:58:131,Computer131,Serial131,Computer131,Asset-Tag131
00:24:45:E1:58:132,Computer132,Serial132,Computer132,Asset-Tag132
00:24:45:E1:58:133,Computer133,Serial133,Computer133,Asset-Tag133
00:24:45:E1:58:134,Computer134,Serial134,Computer134,Asset-Tag134
00:24:45:E1:58:135,Computer135,Serial135,Computer135,Asset-Tag135
00:24:45:E1:58:136,Computer136,Serial136,Computer136,Asset-Tag136
00:24:45:E1:58:137,Computer137,Serial137,Computer137,Asset-Tag137
00:24:45:E1:58:138,Computer138,Serial138,Computer138,Asset-Tag138
00:24:45:E1:58:139,Computer139,Serial139,Computer139,Asset-Tag139
00:24:45:E1:58:140,Computer140,Serial140,Computer140,Asset-Tag140
00:24:45:E1:58:141,Computer141,Serial141,Computer141,Asset-Tag141
00:24:45:E1:58:142,Computer142,Serial142,Computer142,Asset-Tag142
00:24:45:E1:58:143,Computer143,Serial143,Computer143,Asset-Tag143
00:24:45:E1:58:144,Computer144,Serial144,Computer144,Asset-Tag144
00:24:45:E1:58:145,Computer145,Serial145,Computer145,Asset-Tag145
00:24:45:E1:58:146,Computer146,Serial146,Computer146,Asset-Tag146
00:24:45:E1:58:147,Computer147,Serial147,Computer147,Asset-Tag147
00:24:45:E1:58:148,Computer148,Serial148,Computer148,Asset-Tag148
00:24:45:E1:58:149,Computer149,Serial149,Computer149,Asset-Tag149
00:24:45:E1:58:150,Computer150,Serial150,Computer150,Asset-Tag150
00:24:45:E1:58:151,Computer151,Serial151,Computer151,Asset-Tag151
00:24:45:E1:58:152,Computer152,Serial152,Computer152,Asset-Tag152
00:24:45:E1:58:153,Computer153,Serial153,Computer153,Asset-Tag153
00:24:45:E1:58:154,Computer154,Serial154,Computer154,Asset-Tag154
00:24:45:E1:58:155,Computer155,Serial155,Computer155,Asset-Tag155
00:24:45:E1:58:156,Computer156,Serial156,Computer156,Asset-Tag156
00:24:45:E1:58:157,Computer157,Serial157,Computer157,Asset-Tag157
00:24:45:E1:58:158,Computer158,Serial158,Computer158,Asset-Tag158
00:24:45:E1:58:159,Computer159,Serial159,Computer159,Asset-Tag159
00:24:45:E1:58:160,Computer160,Serial160,Computer160,Asset-Tag160
00:24:45:E1:58:161,Computer161,Serial161,Computer161,Asset-Tag161
00:24:45:E1:58:162,Computer162,Serial162,Computer162,Asset-Tag162
00:24:45:E1:58:163,Computer163,Serial163,Computer163,Asset-Tag163
00:24:45:E1:58:164,Computer164,Serial164,Computer164,Asset-Tag164
00:24:45:E1:58:165,Computer165,Serial165,Computer165,Asset-Tag165
00:24:45:E1:58:166,Computer166,Serial166,Computer166,Asset-Tag166
00:24:45:E1:58:167,Computer167,Serial167,Computer167,Asset-Tag167
00:24:45:E1:58:168,Computer168,Serial168,Computer168,Asset-Tag168
00:24:45:E1:58:169,Computer169,Serial169,Computer169,Asset-Tag169
00:24:45:E1:58:170,Computer170,Serial170,Computer170,Asset-Tag170
00:24:45:E1:58:171,Computer171,Serial171,Computer171,Asset-Tag171
00:24:45:E1:58:172,Computer172,Serial172,Computer172,Asset-Tag172
00:24:45:E1:58:173,Computer173,Serial173,Computer173,Asset-Tag173
00:24:45:E1:58:174,Computer174,Serial174,Computer174,Asset-Tag174
00:24:45:E1:58:175,Computer175,Serial175,Computer175,Asset-Tag175
00:24:45:E1:58:176,Computer176,Serial176,Computer176,Asset-Tag176
00:24:45:E1:58:177,Computer177,Serial177,Computer177,Asset-Tag177
00:24:45:E1:58:178,Computer178,Serial178,Computer178,Asset-Tag178
00:24:45:E1:58:179,Computer179,Serial179,Computer179,Asset-Tag179
00:24:45:E1:58:180,Computer180,Serial180,Computer180,Asset-Tag180
00:24:45:E1:58:181,Computer181,Serial181,Computer181,Asset-Tag181
00:24:45:E1:58:182,Computer182,Serial182,Computer182,Asset-Tag182
00:24:45:E1:58:183,Computer183,Serial183,Computer183,Asset-Tag183
00:24:45:E1:58:184,Computer184,Serial184,Computer184,Asset-Tag184
00:24:45:E1:58:185,Computer185,Serial185,Computer185,Asset-Tag185
00:24:45:E1:58:186,Computer186,Serial186,Computer186,Asset-Tag186
00:24:45:E1:58:187,Computer187,Serial187,Computer187,Asset-Tag187
00:24:45:E1:58:188,Computer188,Serial188,Computer188,Asset-Tag188
00:24:45:E1:58:189,Computer189,Serial189,Computer189,Asset-Tag189
00:24:45:E1:58:190,Computer190,Serial190,Computer190,Asset-Tag190
00:24:45:E1:58:191,Computer191,Serial191,Computer191,Asset-Tag191
00:24:45:E1:58:192,Computer192,Serial192,Computer192,Asset-Tag192
00:24:45:E1:58:193,Computer193,Serial193,Computer193,Asset-Tag193
00:24:45:E1:58:194,Computer194,Serial194,Computer194,Asset-Tag194
00:24:45:E1:58:195,Computer195,Serial195,Computer195,Asset-Tag195
00:24:45:E1:58:196,Computer196,Serial196,Computer196,Asset-Tag196
00:24:45:E1:58:197,Computer197,Serial197,Computer197,Asset-Tag197
00:24:45:E1:58:198,Computer198,Serial198,Computer198,Asset-Tag198
00:24:45:E1:58:199,Computer199,Serial199,Computer199,Asset-Tag199
00:24:45:E1:58:200,Computer200,Serial200,Computer200,Asset-Tag200
00:24:45:E1:58:201,Computer201,Serial201,Computer201,Asset-Tag201
00:24:45:E1:58:202,Computer202,Serial202,Computer202,Asset-Tag202
00:24:45:E1:58:203,Computer203,Serial203,Computer203,Asset-Tag203
00:24:45:E1:58:204,Computer204,Serial204,Computer204,Asset-Tag204
00:24:45:E1:58:205,Computer205,Serial205,Computer205,Asset-Tag205
00:24:45:E1:58:206,Computer206,Serial206,Computer206,Asset-Tag206
00:24:45:E1:58:207,Computer207,Serial207,Computer207,Asset-Tag207
00:24:45:E1:58:208,Computer208,Serial208,Computer208,Asset-Tag208
00:24:45:E1:58:209,Computer209,Serial209,Computer209,Asset-Tag209
00:24:45:E1:58:210,Computer210,Serial210,Computer210,Asset-Tag210
00:24:45:E1:58:211,Computer211,Serial211,Computer211,Asset-Tag211
00:24:45:E1:58:212,Computer212,Serial212,Computer212,Asset-Tag212
00:24:45:E1:58:213,Computer213,Serial213,Computer213,Asset-Tag213
00:24:45:E1:58:214,Computer214,Serial214,Computer214,Asset-Tag214
00:24:45:E1:58:215,Computer215,Serial215,Computer215,Asset-Tag215
00:24:45:E1:58:216,Computer216,Serial216,Computer216,Asset-Tag216
00:24:45:E1:58:217,Computer217,Serial217,Computer217,Asset-Tag217
00:24:45:E1:58:218,Computer218,Serial218,Computer218,Asset-Tag218
00:24:45:E1:58:219,Computer219,Serial219,Computer219,Asset-Tag219
00:24:45:E1:58:220,Computer220,Serial220,Computer220,Asset-Tag220
00:24:45:E1:58:221,Computer221,Serial221,Computer221,Asset-Tag221
00:24:45:E1:58:222,Computer222,Serial222,Computer222,Asset-Tag222
00:24:45:E1:58:223,Computer223,Serial223,Computer223,Asset-Tag223
00:24:45:E1:58:224,Computer224,Serial224,Computer224,Asset-Tag224
00:24:45:E1:58:225,Computer225,Serial225,Computer225,Asset-Tag225
00:24:45:E1:58:226,Computer226,Serial226,Computer226,Asset-Tag226
00:24:45:E1:58:227,Computer227,Serial227,Computer227,Asset-Tag227
00:24:45:E1:58:228,Computer228,Serial228,Computer228,Asset-Tag228
00:24:45:E1:58:229,Computer229,Serial229,Computer229,Asset-Tag229
00:24:45:E1:58:230,Computer230,Serial230,Computer230,Asset-Tag230
00:24:45:E1:58:231,Computer231,Serial231,Computer231,Asset-Tag231
00:24:45:E1:58:232,Computer232,Serial232,Computer232,Asset-Tag232
00:24:45:E1:58:233,Computer233,Serial233,Computer233,Asset-Tag233
00:24:45:E1:58:234,Computer234,Serial234,Computer234,Asset-Tag234
00:24:45:E1:58:235,Computer235,Serial235,Computer235,Asset-Tag235
00:24:45:E1:58:236,Computer236,Serial236,Computer236,Asset-Tag236
00:24:45:E1:58:237,Computer237,Serial237,Computer237,Asset-Tag237
00:24:45:E1:58:238,Computer238,Serial238,Computer238,Asset-Tag238
00:24:45:E1:58:239,Computer239,Serial239,Computer239,Asset-Tag239
00:24:45:E1:58:240,Computer240,Serial240,Computer240,Asset-Tag240
00:24:45:E1:58:241,Computer241,Serial241,Computer241,Asset-Tag241
00:24:45:E1:58:242,Computer242,Serial242,Computer242,Asset-Tag242
00:24:45:E1:58:243,Computer243,Serial243,Computer243,Asset-Tag243
00:24:45:E1:58:244,Computer244,Serial244,Computer244,Asset-Tag244
00:24:45:E1:58:245,Computer245,Serial245,Computer245,Asset-Tag245
00:24:45:E1:58:246,Computer246,Serial246,Computer246,Asset-Tag246
00:24:45:E1:58:247,Computer247,Serial247,Computer247,Asset-Tag247
00:24:45:E1:58:248,Computer248,Serial248,Computer248,Asset-Tag248
00:24:45:E1:58:249,Computer249,Serial249,Computer249,Asset-Tag249
00:24:45:E1:58:250,Computer250,Serial250,Computer250,Asset-Tag250
00:24:45:E1:58:251,Computer251,Serial251,Computer251,Asset-Tag251
00:24:45:E1:58:252,Computer252,Serial252,Computer252,Asset-Tag252
00:24:45:E1:58:253,Computer253,Serial253,Computer253,Asset-Tag253
00:24:45:E1:58:254,Computer254,Serial254,Computer254,Asset-Tag254
00:24:45:E1:58:255,Computer255,Serial255,Computer255,Asset-Tag255
00:24:45:E1:58:256,Computer256,Serial256,Computer256,Asset-Tag256
00:24:45:E1:58:257,Computer257,Serial257,Computer257,Asset-Tag257
00:24:45:E1:58:258,Computer258,Serial258,Computer258,Asset-Tag258
00:24:45:E1:58:259,Computer259,Serial259,Computer259,Asset-Tag259
00:24:45:E1:58:260,Computer260,Serial260,Computer260,Asset-Tag260
00:24:45:E1:58:261,Computer261,Serial261,Computer261,Asset-Tag261
00:24:45:E1:58:262,Computer262,Serial262,Computer262,Asset-Tag262
00:24:45:E1:58:263,Computer263,Serial263,Computer263,Asset-Tag263
00:24:45:E1:58:264,Computer264,Serial264,Computer264,Asset-Tag264
00:24:45:E1:58:265,Computer265,Serial265,Computer265,Asset-Tag265
00:24:45:E1:58:266,Computer266,Serial266,Computer266,Asset-Tag266
00:24:45:E1:58:267,Computer267,Serial267,Computer267,Asset-Tag267
00:24:45:E1:58:268,Computer268,Serial268,Computer268,Asset-Tag268
00:24:45:E1:58:269,Computer269,Serial269,Computer269,Asset-Tag269
00:24:45:E1:58:270,Computer270,Serial270,Computer270,Asset-Tag270
00:24:45:E1:58:271,Computer271,Serial271,Computer271,Asset-Tag271
00:24:45:E1:58:272,Computer272,Serial272,Computer272,Asset-Tag272
00:24:45:E1:58:273,Computer273,Serial273,Computer273,Asset-Tag273
00:24:45:E1:58:274,Computer274,Serial274,Computer274,Asset-Tag274
00:24:45:E1:58:275,Computer275,Serial275,Computer275,Asset-Tag275
00:24:45:E1:58:276,Computer276,Serial276,Computer276,Asset-Tag276
00:24:45:E1:58:277,Computer277,Serial277,Computer277,Asset-Tag277
00:24:45:E1:58:278,Computer278,Serial278,Computer278,Asset-Tag278
00:24:45:E1:58:279,Computer279,Serial279,Computer279,Asset-Tag279
00:24:45:E1:58:280,Computer280,Serial280,Computer280,Asset-Tag280
00:24:45:E1:58:281,Computer281,Serial281,Computer281,Asset-Tag281
00:24:45:E1:58:282,Computer282,Serial282,Computer282,Asset-Tag282
00:24:45:E1:58:283,Computer283,Serial283,Computer283,Asset-Tag283
00:24:45:E1:58:284,Computer284,Serial284,Computer284,Asset-Tag284
00:24:45:E1:58:285,Computer285,Serial285,Computer285,Asset-Tag285
00:24:45:E1:58:286,Computer286,Serial286,Computer286,Asset-Tag286
00:24:45:E1:58:287,Computer287,Serial287,Computer287,Asset-Tag287
00:24:45:E1:58:288,Computer288,Serial288,Computer288,Asset-Tag288
00:24:45:E1:58:289,Computer289,Serial289,Computer289,Asset-Tag289
00:24:45:E1:58:290,Computer290,Serial290,Computer290,Asset-Tag290
00:24:45:E1:58:291,Computer291,Serial291,Computer291,Asset-Tag291
00:24:45:E1:58:292,Computer292,Serial292,Computer292,Asset-Tag292
00:24:45:E1:58:293,Computer293,Serial293,Computer293,Asset-Tag293
00:24:45:E1:58:294,Computer294,Serial294,Computer294,Asset-Tag294
00:24:45:E1:58:295,Computer295,Serial295,Computer295,Asset-Tag295
00:24:45:E1:58:296,Computer296,Serial296,Computer296,Asset-Tag296
00:24:45:E1:58:297,Computer297,Serial297,Computer297,Asset-Tag297
00:24:45:E1:58:298,Computer298,Serial298,Computer298,Asset-Tag298
00:24:45:E1:58:299,Computer299,Serial299,Computer299,Asset-Tag299
00:24:45:E1:58:300,Computer300,Serial300,Computer300,Asset-Tag300
00:24:45:E1:58:301,Computer301,Serial301,Computer301,Asset-Tag301
00:24:45:E1:58:302,Computer302,Serial302,Computer302,Asset-Tag302
00:24:45:E1:58:303,Computer303,Serial303,Computer303,Asset-Tag303
00:24:45:E1:58:304,Computer304,Serial304,Computer304,Asset-Tag304
00:24:45:E1:58:305,Computer305,Serial305,Computer305,Asset-Tag305
00:24:45:E1:58:306,Computer306,Serial306,Computer306,Asset-Tag306
00:24:45:E1:58:307,Computer307,Serial307,Computer307,Asset-Tag307
00:24:45:E1:58:308,Computer308,Serial308,Computer308,Asset-Tag308
00:24:45:E1:58:309,Computer309,Serial309,Computer309,Asset-Tag309
00:24:45:E1:58:310,Computer310,Serial310,Computer310,Asset-Tag310
00:24:45:E1:58:311,Computer311,Serial311,Computer311,Asset-Tag311
00:24:45:E1:58:312,Computer312,Serial312,Computer312,Asset-Tag312
00:24:45:E1:58:313,Computer313,Serial313,Computer313,Asset-Tag313
00:24:45:E1:58:314,Computer314,Serial314,Computer314,Asset-Tag314
00:24:45:E1:58:315,Computer315,Serial315,Computer315,Asset-Tag315
00:24:45:E1:58:316,Computer316,Serial316,Computer316,Asset-Tag316
00:24:45:E1:58:317,Computer317,Serial317,Computer317,Asset-Tag317
00:24:45:E1:58:318,Computer318,Serial318,Computer318,Asset-Tag318
00:24:45:E1:58:319,Computer319,Serial319,Computer319,Asset-Tag319
00:24:45:E1:58:320,Computer320,Serial320,Computer320,Asset-Tag320
00:24:45:E1:58:321,Computer321,Serial321,Computer321,Asset-Tag321
00:24:45:E1:58:322,Computer322,Serial322,Computer322,Asset-Tag322
00:24:45:E1:58:323,Computer323,Serial323,Computer323,Asset-Tag323
00:24:45:E1:58:324,Computer324,Serial324,Computer324,Asset-Tag324
00:24:45:E1:58:325,Computer325,Serial325,Computer325,Asset-Tag325
00:24:45:E1:58:326,Computer326,Serial326,Computer326,Asset-Tag326
00:24:45:E1:58:327,Computer327,Serial327,Computer327,Asset-Tag327
00:24:45:E1:58:328,Computer328,Serial328,Computer328,Asset-Tag328
00:24:45:E1:58:329,Computer329,Serial329,Computer329,Asset-Tag329
00:24:45:E1:58:330,Computer330,Serial330,Computer330,Asset-Tag330
00:24:45:E1:58:331,Computer331,Serial331,Computer331,Asset-Tag331
00:24:45:E1:58:332,Computer332,Serial332,Computer332,Asset-Tag332
00:24:45:E1:58:333,Computer333,Serial333,Computer333,Asset-Tag333
00:24:45:E1:58:334,Computer334,Serial334,Computer334,Asset-Tag334
00:24:45:E1:58:335,Computer335,Serial335,Computer335,Asset-Tag335
00:24:45:E1:58:336,Computer336,Serial336,Computer336,Asset-Tag336
00:24:45:E1:58:337,Computer337,Serial337,Computer337,Asset-Tag337
00:24:45:E1:58:338,Computer338,Serial338,Computer338,Asset-Tag338
00:24:45:E1:58:339,Computer339,Serial339,Computer339,Asset-Tag339
00:24:45:E1:58:340,Computer340,Serial340,Computer340,Asset-Tag340
00:24:45:E1:58:341,Computer341,Serial341,Computer341,Asset-Tag341
00:24:45:E1:58:342,Computer342,Serial342,Computer342,Asset-Tag342
00:24:45:E1:58:343,Computer343,Serial343,Computer343,Asset-Tag343
00:24:45:E1:58:344,Computer344,Serial344,Computer344,Asset-Tag344
00:24:45:E1:58:345,Computer345,Serial345,Computer345,Asset-Tag345
00:24:45:E1:58:346,Computer346,Serial346,Computer346,Asset-Tag346
00:24:45:E1:58:347,Computer347,Serial347,Computer347,Asset-Tag347
00:24:45:E1:58:348,Computer348,Serial348,Computer348,Asset-Tag348
00:24:45:E1:58:349,Computer349,Serial349,Computer349,Asset-Tag349
00:24:45:E1:58:350,Computer350,Serial350,Computer350,Asset-Tag350
00:24:45:E1:58:351,Computer351,Serial351,Computer351,Asset-Tag351
00:24:45:E1:58:352,Computer352,Serial352,Computer352,Asset-Tag352
00:24:45:E1:58:353,Computer353,Serial353,Computer353,Asset-Tag353
00:24:45:E1:58:354,Computer354,Serial354,Computer354,Asset-Tag354
00:24:45:E1:58:355,Computer355,Serial355,Computer355,Asset-Tag355
00:24:45:E1:58:356,Computer356,Serial356,Computer356,Asset-Tag356
00:24:45:E1:58:357,Computer357,Serial357,Computer357,Asset-Tag357
00:24:45:E1:58:358,Computer358,Serial358,Computer358,Asset-Tag358
00:24:45:E1:58:359,Computer359,Serial359,Computer359,Asset-Tag359
00:24:45:E1:58:360,Computer360,Serial360,Computer360,Asset-Tag360
00:24:45:E1:58:361,Computer361,Serial361,Computer361,Asset-Tag361
00:24:45:E1:58:362,Computer362,Serial362,Computer362,Asset-Tag362
00:24:45:E1:58:363,Computer363,Serial363,Computer363,Asset-Tag363
00:24:45:E1:58:364,Computer364,Serial364,Computer364,Asset-Tag364
00:24:45:E1:58:365,Computer365,Serial365,Computer365,Asset-Tag365
00:24:45:E1:58:366,Computer366,Serial366,Computer366,Asset-Tag366
00:24:45:E1:58:367,Computer367,Serial367,Computer367,Asset-Tag367
00:24:45:E1:58:368,Computer368,Serial368,Computer368,Asset-Tag368
00:24:45:E1:58:369,Computer369,Serial369,Computer369,Asset-Tag369
00:24:45:E1:58:370,Computer370,Serial370,Computer370,Asset-Tag370
00:24:45:E1:58:371,Computer371,Serial371,Computer371,Asset-Tag371
00:24:45:E1:58:372,Computer372,Serial372,Computer372,Asset-Tag372
00:24:45:E1:58:373,Computer373,Serial373,Computer373,Asset-Tag373
00:24:45:E1:58:374,Computer374,Serial374,Computer374,Asset-Tag374
00:24:45:E1:58:375,Computer375,Serial375,Computer375,Asset-Tag375
00:24:45:E1:58:376,Computer376,Serial376,Computer376,Asset-Tag376
00:24:45:E1:58:377,Computer377,Serial377,Computer377,Asset-Tag377
